36;AEROCARIBBEAN AIRLINES;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
173;ANGLO-CARIBBEAN CO., LTD.;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
306;BANCO NACIONAL DE CUBA;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;a.k.a. 'BNC'.;;;;;;;;;;;;;;;
424;BOUTIQUE LA MAISON;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
475;CASA DE CUBA;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
480;CECOEX, S.A.;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
535;CIMEX;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
536;CIMEX IBERICA;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
537;CIMEX, S.A.;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
540;COMERCIAL IBEROAMERICANA, S.A.;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
551;COMERCIAL CIMEX, S.A.;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
552;COMERCIAL DE RODAJES Y MAQUINARIA, S.A.;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
555;COMERCIALIZACION DE PRODUCTOS VARIOS;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
559;COMPANIA DE IMPORTACION Y EXPORTACION IBERIA;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
576;CORPORACION CIMEX, S.A.;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
578;COTEI;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
589;CRYMSA - ARGENTINA, S.A.;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
590;CUBACANCUN CIGARS AND GIFT SHOPS;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
591;CUBAEXPORT;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
592;CUBAFRUTAS;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
593;CUBAN CIGARS TRADE;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
